"Year","od_region","cases","percentage"
1999,"South Asia",3023,0.680400722939835
1999,"Pacific Islands",1282,0.288545725044283
1999,"Sub-Saharan Africa",0,0
1999,"Europe, Middle East & North Africa",26,0.00585194138155333
2000,"South America",329223,64.2159549505443
2000,"North & Central America",58701,11.449809920789
2000,"Caribbean",9128,1.78044436989083
2000,"East & Southeast Asia",102295,19.9529532009183
2000,"South Asia",11598,2.26222543843052
2000,"Pacific Islands",1719,0.335296217335926
2000,"Sub-Saharan Africa",0,0
2000,"Europe, Middle East & North Africa",17,0.0033159020911639
2001,"South America",582135,58.2617407213172
2001,"North & Central America",33650,3.36778852890193
2001,"Caribbean",28308,2.83314584475946
2001,"East & Southeast Asia",304322,30.457418742719
2001,"South Asia",14740,1.47522148338825
2001,"Pacific Islands",36010,3.60398409883383
2001,"Sub-Saharan Africa",0,0
2001,"Europe, Middle East & North Africa",7,0.000700580080306494
2002,"South America",906981,69.0953650284805
2002,"North & Central America",80571,6.13803669063597
2002,"Caribbean",16600,1.26461641365451
2002,"East & Southeast Asia",284773,21.694494576243
2002,"South Asia",19118,1.45644196362933
2002,"Pacific Islands",4597,0.350207328528299
2002,"Sub-Saharan Africa",0,0
2002,"Europe, Middle East & North Africa",11,0.000837998828325275
2003,"South America",446605,54.5924497995895
2003,"North & Central America",59112,7.22577869158056
2003,"Caribbean",13958,1.70620887429086
2003,"East & Southeast Asia",268783,32.855705678358
2003,"South Asia",18100,2.21252189602125
2003,"Pacific Islands",11513,1.40733506015981
2003,"Sub-Saharan Africa",0,0
2003,"Europe, Middle East & North Africa",0,0
2004,"South America",199857,34.1838078590072
2004,"North & Central America",63223,10.8137462499188
2004,"Caribbean",6677,1.14204298610802
2004,"East & Southeast Asia",285359,48.808183985742
2004,"South Asia",26968,4.61264269123276
2004,"Pacific Islands",1999,0.341911626363627
2004,"Sub-Saharan Africa",228,0.0389974241175122
2004,"Europe, Middle East & North Africa",343,0.0586671775101171
2005,"South America",313807,39.093786867621
2005,"North & Central America",116206,14.4768363890505
2005,"Caribbean",19033,2.37111359992426
2005,"East & Southeast Asia",324027,40.3669850492648
2005,"South Asia",24112,3.00385073931454
2005,"Pacific Islands",319,0.0397407260219533
2005,"Sub-Saharan Africa",4481,0.558238850483927
2005,"Europe, Middle East & North Africa",718,0.0894477783190047
2006,"South America",454302,47.889114471662
2006,"North & Central America",86352,9.10258113073892
2006,"Caribbean",16177,1.70525818686265
2006,"East & Southeast Asia",351325,37.0340503492316
2006,"South Asia",31776,3.34958794249537
2006,"Pacific Islands",3847,0.405521928964617
2006,"Sub-Saharan Africa",3331,0.351129073402948
2006,"Europe, Middle East & North Africa",1544,0.162756916641895
2007,"South America",727150,51.1817230957218
2007,"North & Central America",139412,9.81275717557692
2007,"Caribbean",30209,2.12631324073253
2007,"East & Southeast Asia",502186,35.3472389390746
2007,"South Asia",16354,1.15110486076798
2007,"Pacific Islands",4163,0.293020027844997
2007,"Sub-Saharan Africa",758,0.0533531542412942
2007,"Europe, Middle East & North Africa",490,0.0344895060398868
2008,"South America",826129,58.5400990207757
2008,"North & Central America",69924,4.95486526187643
2008,"Caribbean",11330,0.802852002417768
2008,"East & Southeast Asia",470086,33.3106342814262
2008,"South Asia",24051,1.70427127185788
2008,"Pacific Islands",6879,0.48745092009107
2008,"Sub-Saharan Africa",1466,0.103881821319016
2008,"Europe, Middle East & North Africa",1354,0.0959454202359804
2009,"South America",780142,47.3569034708113
2009,"North & Central America",311478,18.9076265337353
2009,"Caribbean",21184,1.28593082172946
2009,"East & Southeast Asia",438460,26.615805706925
2009,"South Asia",53276,3.23400917949674
2009,"Pacific Islands",13863,0.841524687577207
2009,"Sub-Saharan Africa",25173,1.52807480057571
2009,"Europe, Middle East & North Africa",3791,0.230124799149188
2010,"South America",1335874,55.2405070200518
2010,"North & Central America",214851,8.88442935019706
2010,"Caribbean",125727,5.19901070468476
2010,"East & Southeast Asia",643551,26.6118537626014
2010,"South Asia",75478,3.12113491905634
2010,"Pacific Islands",1924,0.0795604491939956
2010,"Sub-Saharan Africa",13336,0.551464735161707
2010,"Europe, Middle East & North Africa",7546,0.312039059052958
2011,"South America",926283,59.4655131570585
2011,"North & Central America",124252,7.97672951008583
2011,"Caribbean",25343,1.6269698352872
2011,"East & Southeast Asia",383177,24.5991958558909
2011,"South Asia",77323,4.96398171384257
2011,"Pacific Islands",2710,0.173976571583013
2011,"Sub-Saharan Africa",15020,0.964253913349396
2011,"Europe, Middle East & North Africa",3573,0.229379442902623
2012,"South America",848038,46.5140693269913
2012,"North & Central America",289219,15.8633842076453
2012,"Caribbean",31150,1.70854756453812
2012,"East & Southeast Asia",532534,29.2089781294942
2012,"South Asia",101485,5.56635472189892
2012,"Pacific Islands",4529,0.248411297585655
2012,"Sub-Saharan Africa",13367,0.733167104179168
2012,"Europe, Middle East & North Africa",2864,0.157087647667325
2013,"South America",1874759,56.4176987166408
2013,"North & Central America",478407,14.3968488696051
2013,"Caribbean",65235,1.96313690227921
2013,"East & Southeast Asia",707454,21.2896306287274
2013,"South Asia",140267,4.22109793626117
2013,"Pacific Islands",24418,0.7348183778624
2013,"Sub-Saharan Africa",25936,0.780500018356918
2013,"Europe, Middle East & North Africa",6522,0.196268550266958
2014,"South America",885961,47.2556134512678
2014,"North & Central America",304448,16.2387249596896
2014,"Caribbean",27105,1.44573339300106
2014,"East & Southeast Asia",506291,27.0046782983177
2014,"South Asia",93762,5.00110143495907
2014,"Pacific Islands",36016,1.92103058042155
2014,"Sub-Saharan Africa",18421,0.982543989392088
2014,"Europe, Middle East & North Africa",2823,0.15057389295119
2015,"South America",2054912,58.6644543558153
2015,"North & Central America",419910,11.9877595870531
2015,"Caribbean",25249,0.720818608305358
2015,"East & Southeast Asia",827518,23.6243167296777
2015,"South Asia",147856,4.22105256246176
2015,"Pacific Islands",7438,0.2123430159046
2015,"Sub-Saharan Africa",8030,0.229243670034141
2015,"Europe, Middle East & North Africa",11910,0.340011470748022
2016,"South America",2613868,66.6965889376565
2016,"North & Central America",305467,7.79442838468473
2016,"Caribbean",18523,0.47264089728028
2016,"East & Southeast Asia",727238,18.5565200483894
2016,"South Asia",203671,5.19695752253803
2016,"Pacific Islands",12882,0.328702696040845
2016,"Sub-Saharan Africa",3675,0.0937728930251595
2016,"Europe, Middle East & North Africa",33719,0.86038862038513
2017,"South America",649493,34.4176648515282
2017,"North & Central America",194970,10.3317697282379
2017,"Caribbean",7059,0.374067613025756
2017,"East & Southeast Asia",577653,30.6107492374511
2017,"South Asia",404433,21.4315465276733
2017,"Pacific Islands",23899,1.26644593904272
2017,"Sub-Saharan Africa",25889,1.37189919728344
2017,"Europe, Middle East & North Africa",3696,0.195856905757642
2018,"South America",586347,35.4322900489353
2018,"North & Central America",176480,10.6644880042639
2018,"Caribbean",6319,0.381850066290477
2018,"East & Southeast Asia",645559,39.0104046438382
2018,"South Asia",172714,10.4369128579353
2018,"Pacific Islands",15551,0.93972944783719
2018,"Sub-Saharan Africa",18364,1.10971587551168
2018,"Europe, Middle East & North Africa",33504,2.0246090553879
2019,"South America",2453310,47.906087033951
2019,"North & Central America",698665,13.6429176490437
2019,"Caribbean",39544,0.772180566528714
2019,"East & Southeast Asia",1328458,25.9409632573741
2019,"South Asia",449896,8.7851746955038
2019,"Pacific Islands",19852,0.387652453133928
2019,"Sub-Saharan Africa",36348,0.709771880239371
2019,"Europe, Middle East & North Africa",95009,1.85525246422533
2020,"South America",2034732,63.3597943322415
2020,"North & Central America",228579,7.11775232741679
2020,"Caribbean",70484,2.19481078771735
2020,"East & Southeast Asia",570628,17.7688622974516
2020,"South Asia",205007,6.38374063840832
2020,"Pacific Islands",11020,0.343153267133608
2020,"Sub-Saharan Africa",21824,0.679580481118318
2020,"Europe, Middle East & North Africa",69119,2.15230586851251
2021,"South America",1140851,52.437248638338
2021,"North & Central America",114024,5.24091650771034
2021,"Caribbean",14816,0.680991887481902
2021,"East & Southeast Asia",276731,12.719463148944
2021,"South Asia",556031,25.5570059522442
2021,"Pacific Islands",17853,0.820582354698596
2021,"Sub-Saharan Africa",31441,1.44513134005929
2021,"Europe, Middle East & North Africa",23903,1.09866017052375
2022,"South America",2573449,58.3491500037071
2022,"North & Central America",233536,5.29508340568076
2022,"Caribbean",20365,0.461746255638054
2022,"East & Southeast Asia",951260,21.5684136085566
2022,"South Asia",510430,11.5732453358867
2022,"Pacific Islands",74101,1.68013058134228
2022,"Sub-Saharan Africa",10570,0.239659117215528
2022,"Europe, Middle East & North Africa",36720,0.832571691972961
2023,"South America",3903220,59.1027398473712
2023,"North & Central America",624672,9.45881264851509
2023,"Caribbean",67969,1.02918977784649
2023,"East & Southeast Asia",875298,13.2538032657458
2023,"South Asia",777434,11.7719419992983
2023,"Pacific Islands",12818,0.194090755674444
2023,"Sub-Saharan Africa",294653,4.46164951098003
2023,"Europe, Middle East & North Africa",48063,0.727772194568639
2024,"South America",11943267,81.388324433608
2024,"North & Central America",1097923,7.48188191113204
2024,"Caribbean",45473,0.309879304964836
2024,"East & Southeast Asia",895534,6.10268628620015
2024,"South Asia",494226,3.3679416219636
2024,"Pacific Islands",10519,0.071682545882724
2024,"Sub-Saharan Africa",161860,1.1030075935524
2024,"Europe, Middle East & North Africa",25621,0.174596302696195
