"analysis","cycle","region","threshold","variant","scale","slope_unmasked","slope_masked","diff_point","diff_lwr","diff_upr","diff_p","m","diff_pct_per_year"
"power","Annual","Americas","20%","fixed_support","log slope per year",0.0654827114359664,0.0655120018811966,2.92904452301457e-05,-0.0689474264364686,0.0690060073269289,0.999335933523915,50,0.00292908741994502
"power","Annual","Asia","20%","fixed_support","log slope per year",0.0221288364094776,0.0221737361713101,4.48997618325274e-05,-0.067829384511131,0.0679191840347961,0.998965508789345,50,0.00449007698419823
"sync","Annual","Global","20%","fixed_support","logit slope per year",0.0033651403742541,0.0153433411100852,0.0119782007358311,0.00272843244367395,0.0212279690279883,0.0112177392051981,50,NA
"sync","Annual","Within Americas","20%","fixed_support","logit slope per year",-0.00170498416345447,0.0137112350521146,0.0154162192155691,-0.00311317723568326,0.0339456156668214,0.102889666542709,50,NA
"sync","Annual","Within Asia","20%","fixed_support","logit slope per year",0.0048941997077065,0.00852504688609106,0.00363084717838456,-0.0120105619916697,0.0192722563484389,0.648995205616636,50,NA
"sync","Annual","Americas-Asia","20%","fixed_support","logit slope per year",0.00567349968537931,0.018894722025989,0.0132212223406097,0.000699206213687447,0.0257432384675319,0.0385342970173041,50,NA
"power","Multiannual","Global","20%","fixed_support","log slope per year",0.0298482538607379,0.0342734203520148,0.00442516649127686,-0.0249904713362138,0.0338408043187675,0.768109320302,50,0.443497199884724
"power","Multiannual","Americas","20%","fixed_support","log slope per year",0.0349320159974157,0.0420383714591546,0.00710635546173898,-0.037899637738584,0.052112348662062,0.756960652171597,50,0.713166552429234
"power","Multiannual","Asia","20%","fixed_support","log slope per year",0.0242293588675678,0.0256911059704391,0.00146174710287136,-0.0354384615405286,0.0383619557462713,0.9381135705908,50,0.146281597591158
"sync","Multiannual","Global","20%","fixed_support","logit slope per year",0.0403771307658214,0.061741074008752,0.0213639432429306,0.00783189718251751,0.0348959893033436,0.00204877300236818,50,NA
"sync","Multiannual","Within Americas","20%","fixed_support","logit slope per year",0.0492494000720078,0.0859611807968421,0.0367117807248344,0.0074887745384444,0.0659347869112244,0.0139608411948727,50,NA
"sync","Multiannual","Within Asia","20%","fixed_support","logit slope per year",0.0315606806291135,0.0420040463567033,0.0104433657275897,-0.009308481359522,0.0301952128147015,0.299965338160099,50,NA
"sync","Multiannual","Americas-Asia","20%","fixed_support","logit slope per year",0.0391770709529542,0.0566881010793275,0.0175110301263733,0.000322657360220264,0.0346994028925263,0.0458613962023572,50,NA
"power","Annual","Global","30%","fixed_support","log slope per year",0.0453181184003902,0.0453559118821944,3.77934818041965e-05,-0.0485204635661548,0.0485960505297632,0.998782856460128,50,0.00377941959868178
"power","Annual","Americas","30%","fixed_support","log slope per year",0.0654827114359664,0.06551298306813,3.02716321635919e-05,-0.0689475414157119,0.0690080846800391,0.999313699183409,50,0.00302720903539999
"power","Annual","Asia","30%","fixed_support","log slope per year",0.0221288364094776,0.0221752800183685,4.64436088908894e-05,-0.0678287261191546,0.0679216133369364,0.998929952509403,50,0.0046444687411995
"sync","Annual","Global","30%","fixed_support","logit slope per year",0.0033651403742541,0.0105067020158662,0.00714156164161206,-0.00127348222667495,0.0155566055098991,0.0961571231911782,50,NA
"sync","Annual","Within Americas","30%","fixed_support","logit slope per year",-0.00170498416345447,0.00549686725373141,0.00720185141718588,-0.00989326796240065,0.0242969707967724,0.408799531527744,50,NA
"sync","Annual","Within Asia","30%","fixed_support","logit slope per year",0.0048941997077065,0.00888555299905011,0.00399135329134361,-0.0104699376410577,0.0184526442237449,0.588398645837983,50,NA
"sync","Annual","Americas-Asia","30%","fixed_support","logit slope per year",0.00567349968537931,0.0139907685450086,0.00831726885962932,-0.00284116131705958,0.0194756990363182,0.143937479464031,50,NA
"power","Multiannual","Global","30%","fixed_support","log slope per year",0.0298482538607379,0.0298019622240867,-4.62916366512188e-05,-0.0293798455930618,0.0292872623197594,0.997532112491792,50,-0.00462905652099943
"power","Multiannual","Americas","30%","fixed_support","log slope per year",0.0349320159974157,0.0348611997328715,-7.08162645441958e-05,-0.0449296852852505,0.0447880527561621,0.997531277620551,50,-0.00708137571316936
"power","Multiannual","Asia","30%","fixed_support","log slope per year",0.0242293588675678,0.0242101733985877,-1.9185468980033e-05,-0.0368288166334457,0.0367904456954856,0.999184922262797,50,-0.00191852849400487
"sync","Multiannual","Global","30%","fixed_support","logit slope per year",0.0403771307658214,0.0586132582200484,0.018236127454227,0.00615008665612361,0.0303221682523304,0.00316593907885697,50,NA
"sync","Multiannual","Within Americas","30%","fixed_support","logit slope per year",0.0492494000720078,0.0863836805386311,0.0371342804666233,0.0117466905966859,0.0625218703365607,0.00421678028244171,50,NA
"sync","Multiannual","Within Asia","30%","fixed_support","logit slope per year",0.0315606806291135,0.0322213963096631,0.000660715680549623,-0.0175057746079707,0.0188272059690699,0.94316716146463,50,NA
"sync","Multiannual","Americas-Asia","30%","fixed_support","logit slope per year",0.0391770709529542,0.0543630803493545,0.0151860093964003,-0.000302239322532299,0.0306742581153329,0.0546353892660065,50,NA
"power","Annual","Global","50%","fixed_support","log slope per year",0.0453181184003902,0.0453512259255623,3.31075251720524e-05,-0.0485224597025649,0.048588674752909,0.99893370908433,50,0.0033108073232313
"power","Annual","Americas","50%","fixed_support","log slope per year",0.0654827114359664,0.0655092453464663,2.65339104998756e-05,-0.0689471451277013,0.0690002129487011,0.999398402560021,50,0.00265342625271892
"power","Annual","Asia","50%","fixed_support","log slope per year",0.0221288364094776,0.0221695035915227,4.06671820450535e-05,-0.0678311637264715,0.0679124980905616,0.999062993577539,50,0.00406680089661826
"sync","Annual","Global","50%","fixed_support","logit slope per year",0.0033651403742541,0.00541336870126791,0.00204822832701381,-0.00587859961348954,0.00997505626751715,0.612364808244712,50,NA
"sync","Annual","Within Americas","50%","fixed_support","logit slope per year",-0.00170498416345447,-0.00391378842472314,-0.00220880426126867,-0.0187879947292898,0.0143703862067524,0.793910420267802,50,NA
"sync","Annual","Within Asia","50%","fixed_support","logit slope per year",0.0048941997077065,0.0100288833915413,0.00513468368383478,-0.0084881507925598,0.0187575181602293,0.459989811728369,50,NA
"sync","Annual","Americas-Asia","50%","fixed_support","logit slope per year",0.00567349968537931,0.00896743145724721,0.0032939317718679,-0.00735522160353839,0.0139430851472742,0.544204650839788,50,NA
"power","Multiannual","Global","50%","fixed_support","log slope per year",0.0298482538607379,0.0298482640532989,1.01925609725939e-08,-0.0292720511642724,0.0292720715493944,0.999999455474573,50,1.01925610174192e-06
"power","Multiannual","Americas","50%","fixed_support","log slope per year",0.0349320159974157,0.0349320269841627,1.09867470261815e-08,-0.0447225249982147,0.0447225469717087,0.999999615823447,50,1.09867470676761e-06
"power","Multiannual","Asia","50%","fixed_support","log slope per year",0.0242293588675678,0.0242293681823442,9.31477638806133e-09,-0.0368014463626789,0.0368014649922316,0.999999604181956,50,9.31477650567558e-07
"sync","Multiannual","Global","50%","fixed_support","logit slope per year",0.0403771307658214,0.0414642386448829,0.00108710787906145,-0.00857797150842878,0.0107521872665517,0.825501788660534,50,NA
"sync","Multiannual","Within Americas","50%","fixed_support","logit slope per year",0.0492494000720078,0.0510295860930426,0.00178018602103486,-0.0183909659975079,0.0219513380395776,0.862658056737355,50,NA
"sync","Multiannual","Within Asia","50%","fixed_support","logit slope per year",0.0315606806291135,0.0340070709434113,0.0024463903142978,-0.0141962525094001,0.0190890331379957,0.773257923953003,50,NA
"sync","Multiannual","Americas-Asia","50%","fixed_support","logit slope per year",0.0391770709529542,0.0393300991365351,0.000153028183580875,-0.013023435778512,0.0133294921456737,0.981838859848546,50,NA
