"country_year","adm_0_name","Year","data_source","T_res","n_record","prop","cat_model","region","ees","ISO_A0","annual_total"
"AFGHANISTAN_2024","AFGHANISTAN",2024,"ad_hoc_data","Month",12,1,"No_modelling_required","EMRO",FALSE,"AFG",4722
"AMERICAN SAMOA_1990","AMERICAN SAMOA",1990,"ees","Year",1,1,"No_modelling_required","WPRO",TRUE,"ASM",0
"AMERICAN SAMOA_1991","AMERICAN SAMOA",1991,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_1992","AMERICAN SAMOA",1992,"ad_hoc_data","Month",12,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_1993","AMERICAN SAMOA",1993,"ad_hoc_data","Month",12,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_1994","AMERICAN SAMOA",1994,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",246
"AMERICAN SAMOA_1995","AMERICAN SAMOA",1995,"ad_hoc_data","Month",12,1,"No_modelling_required","WPRO",FALSE,"ASM",246
"AMERICAN SAMOA_1996","AMERICAN SAMOA",1996,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",49
"AMERICAN SAMOA_1997","AMERICAN SAMOA",1997,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_1998","AMERICAN SAMOA",1998,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",205
"AMERICAN SAMOA_1999","AMERICAN SAMOA",1999,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",1
"AMERICAN SAMOA_2000","AMERICAN SAMOA",2000,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2001","AMERICAN SAMOA",2001,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",500
"AMERICAN SAMOA_2002","AMERICAN SAMOA",2002,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",1185
"AMERICAN SAMOA_2003","AMERICAN SAMOA",2003,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2004","AMERICAN SAMOA",2004,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2005","AMERICAN SAMOA",2005,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2006","AMERICAN SAMOA",2006,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",53
"AMERICAN SAMOA_2007","AMERICAN SAMOA",2007,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",126
"AMERICAN SAMOA_2008","AMERICAN SAMOA",2008,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",649
"AMERICAN SAMOA_2009","AMERICAN SAMOA",2009,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",419
"AMERICAN SAMOA_2010","AMERICAN SAMOA",2010,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",51
"AMERICAN SAMOA_2011","AMERICAN SAMOA",2011,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2012","AMERICAN SAMOA",2012,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2013","AMERICAN SAMOA",2013,"ad_hoc_data","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2014","AMERICAN SAMOA",2014,"ad_hoc_data","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2015","AMERICAN SAMOA",2015,"OD","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",479
"AMERICAN SAMOA_2016","AMERICAN SAMOA",2016,"OD","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2017","AMERICAN SAMOA",2017,"OD","Week",9,0.173076923076923,"Sub_annual_imputation","WPRO",FALSE,"ASM",111
"AMERICAN SAMOA_2018","AMERICAN SAMOA",2018,"OD","Week",3,0.0576923076923077,"Sub_annual_imputation","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2019","AMERICAN SAMOA",2019,"OD","Week",4,0.0769230769230769,"Sub_annual_imputation","WPRO",FALSE,"ASM",4
"AMERICAN SAMOA_2020","AMERICAN SAMOA",2020,"ad_hoc_data","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2021","AMERICAN SAMOA",2021,"ad_hoc_data","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2022","AMERICAN SAMOA",2022,"ad_hoc_data","Year",1,1,"Annual_disaggregation","WPRO",FALSE,"ASM",1
"AMERICAN SAMOA_2023","AMERICAN SAMOA",2023,"ad_hoc_data","Year",1,1,"No_modelling_required","WPRO",FALSE,"ASM",0
"AMERICAN SAMOA_2024","AMERICAN SAMOA",2024,"OD","Week",40,0.769230769230769,"Sub_annual_imputation","WPRO",FALSE,"ASM",0
"ANGOLA_1990","ANGOLA",1990,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1991","ANGOLA",1991,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1992","ANGOLA",1992,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1993","ANGOLA",1993,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1994","ANGOLA",1994,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1995","ANGOLA",1995,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1996","ANGOLA",1996,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1997","ANGOLA",1997,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1998","ANGOLA",1998,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_1999","ANGOLA",1999,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2000","ANGOLA",2000,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2001","ANGOLA",2001,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2002","ANGOLA",2002,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2003","ANGOLA",2003,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2004","ANGOLA",2004,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2005","ANGOLA",2005,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2006","ANGOLA",2006,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2007","ANGOLA",2007,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2008","ANGOLA",2008,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2009","ANGOLA",2009,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2010","ANGOLA",2010,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2011","ANGOLA",2011,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2012","ANGOLA",2012,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2013","ANGOLA",2013,"ad_hoc_data","Year",1,1,"Annual_disaggregation","AFRO",FALSE,"AGO",1214
"ANGOLA_2014","ANGOLA",2014,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2015","ANGOLA",2015,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2016","ANGOLA",2016,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2017","ANGOLA",2017,"ad_hoc_data","Year",1,1,"Annual_disaggregation","AFRO",FALSE,"AGO",401
"ANGOLA_2018","ANGOLA",2018,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2019","ANGOLA",2019,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2020","ANGOLA",2020,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2021","ANGOLA",2021,"ad_hoc_data","Year",1,1,"Annual_disaggregation","AFRO",FALSE,"AGO",86
"ANGOLA_2022","ANGOLA",2022,"ees","Year",1,1,"No_modelling_required","AFRO",TRUE,"AGO",0
"ANGOLA_2023","ANGOLA",2023,"ad_hoc_data","Year",1,1,"Annual_disaggregation","AFRO",FALSE,"AGO",3
"ANGOLA_2024","ANGOLA",2024,"OD","Month",12,1,"No_modelling_required","AFRO",FALSE,"AGO",86
"ANGUILLA_1990","ANGUILLA",1990,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",12
"ANGUILLA_1991","ANGUILLA",1991,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1992","ANGUILLA",1992,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1993","ANGUILLA",1993,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1994","ANGUILLA",1994,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1995","ANGUILLA",1995,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",4
"ANGUILLA_1996","ANGUILLA",1996,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",1
"ANGUILLA_1997","ANGUILLA",1997,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1998","ANGUILLA",1998,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_1999","ANGUILLA",1999,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",12
"ANGUILLA_2000","ANGUILLA",2000,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",3
"ANGUILLA_2001","ANGUILLA",2001,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",25
"ANGUILLA_2002","ANGUILLA",2002,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",5
"ANGUILLA_2003","ANGUILLA",2003,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",2
"ANGUILLA_2004","ANGUILLA",2004,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_2005","ANGUILLA",2005,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_2006","ANGUILLA",2006,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_2007","ANGUILLA",2007,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_2008","ANGUILLA",2008,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",7
"ANGUILLA_2009","ANGUILLA",2009,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"AIA",0
"ANGUILLA_2010","ANGUILLA",2010,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",1
"ANGUILLA_2011","ANGUILLA",2011,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",9
"ANGUILLA_2012","ANGUILLA",2012,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",7
"ANGUILLA_2013","ANGUILLA",2013,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",8
"ANGUILLA_2014","ANGUILLA",2014,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",86
"ANGUILLA_2015","ANGUILLA",2015,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",8
"ANGUILLA_2016","ANGUILLA",2016,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",50
"ANGUILLA_2017","ANGUILLA",2017,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",22
"ANGUILLA_2018","ANGUILLA",2018,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"AIA",1
"ANGUILLA_2019","ANGUILLA",2019,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",6
"ANGUILLA_2020","ANGUILLA",2020,"OD","Week",53,1,"No_modelling_required","PAHO",FALSE,"AIA",6
"ANGUILLA_2021","ANGUILLA",2021,"ees","Year",1,1,"No_modelling_required","PAHO",TRUE,"AIA",0
"ANGUILLA_2022","ANGUILLA",2022,"ees","Year",1,1,"No_modelling_required","PAHO",TRUE,"AIA",0
"ANGUILLA_2023","ANGUILLA",2023,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"AIA",1
"ANGUILLA_2024","ANGUILLA",2024,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"AIA",5
"ANTIGUA AND BARBUDA_1990","ANTIGUA AND BARBUDA",1990,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",1
"ANTIGUA AND BARBUDA_1991","ANTIGUA AND BARBUDA",1991,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",1
"ANTIGUA AND BARBUDA_1992","ANTIGUA AND BARBUDA",1992,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_1993","ANTIGUA AND BARBUDA",1993,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_1994","ANTIGUA AND BARBUDA",1994,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_1995","ANTIGUA AND BARBUDA",1995,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",56
"ANTIGUA AND BARBUDA_1996","ANTIGUA AND BARBUDA",1996,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",12
"ANTIGUA AND BARBUDA_1997","ANTIGUA AND BARBUDA",1997,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",7
"ANTIGUA AND BARBUDA_1998","ANTIGUA AND BARBUDA",1998,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",4
"ANTIGUA AND BARBUDA_1999","ANTIGUA AND BARBUDA",1999,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",2
"ANTIGUA AND BARBUDA_2000","ANTIGUA AND BARBUDA",2000,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",8
"ANTIGUA AND BARBUDA_2001","ANTIGUA AND BARBUDA",2001,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",20
"ANTIGUA AND BARBUDA_2002","ANTIGUA AND BARBUDA",2002,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",5
"ANTIGUA AND BARBUDA_2003","ANTIGUA AND BARBUDA",2003,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_2004","ANTIGUA AND BARBUDA",2004,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_2005","ANTIGUA AND BARBUDA",2005,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_2006","ANTIGUA AND BARBUDA",2006,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_2007","ANTIGUA AND BARBUDA",2007,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ATG",0
"ANTIGUA AND BARBUDA_2008","ANTIGUA AND BARBUDA",2008,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",17
"ANTIGUA AND BARBUDA_2009","ANTIGUA AND BARBUDA",2009,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",2
"ANTIGUA AND BARBUDA_2010","ANTIGUA AND BARBUDA",2010,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",3
"ANTIGUA AND BARBUDA_2011","ANTIGUA AND BARBUDA",2011,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",7
"ANTIGUA AND BARBUDA_2012","ANTIGUA AND BARBUDA",2012,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",10
"ANTIGUA AND BARBUDA_2013","ANTIGUA AND BARBUDA",2013,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",3
"ANTIGUA AND BARBUDA_2014","ANTIGUA AND BARBUDA",2014,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",37
"ANTIGUA AND BARBUDA_2015","ANTIGUA AND BARBUDA",2015,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",14
"ANTIGUA AND BARBUDA_2016","ANTIGUA AND BARBUDA",2016,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",103
"ANTIGUA AND BARBUDA_2017","ANTIGUA AND BARBUDA",2017,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ATG",1
"ANTIGUA AND BARBUDA_2018","ANTIGUA AND BARBUDA",2018,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",8
"ANTIGUA AND BARBUDA_2019","ANTIGUA AND BARBUDA",2019,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",1223
"ANTIGUA AND BARBUDA_2020","ANTIGUA AND BARBUDA",2020,"OD","Week",53,1,"No_modelling_required","PAHO",FALSE,"ATG",407
"ANTIGUA AND BARBUDA_2021","ANTIGUA AND BARBUDA",2021,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",46
"ANTIGUA AND BARBUDA_2022","ANTIGUA AND BARBUDA",2022,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",48
"ANTIGUA AND BARBUDA_2023","ANTIGUA AND BARBUDA",2023,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",254
"ANTIGUA AND BARBUDA_2024","ANTIGUA AND BARBUDA",2024,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ATG",169
"ARGENTINA_1990","ARGENTINA",1990,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1991","ARGENTINA",1991,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1992","ARGENTINA",1992,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1993","ARGENTINA",1993,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1994","ARGENTINA",1994,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1995","ARGENTINA",1995,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1996","ARGENTINA",1996,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1997","ARGENTINA",1997,"OD","Year",1,1,"No_modelling_required","PAHO",FALSE,"ARG",0
"ARGENTINA_1998","ARGENTINA",1998,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",822
"ARGENTINA_1999","ARGENTINA",1999,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",3
"ARGENTINA_2000","ARGENTINA",2000,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",1700
"ARGENTINA_2001","ARGENTINA",2001,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",11
"ARGENTINA_2002","ARGENTINA",2002,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",214
"ARGENTINA_2003","ARGENTINA",2003,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",135
"ARGENTINA_2004","ARGENTINA",2004,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",3284
"ARGENTINA_2005","ARGENTINA",2005,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",34
"ARGENTINA_2006","ARGENTINA",2006,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",181
"ARGENTINA_2007","ARGENTINA",2007,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",173
"ARGENTINA_2008","ARGENTINA",2008,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",40
"ARGENTINA_2009","ARGENTINA",2009,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",26606
"ARGENTINA_2010","ARGENTINA",2010,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",1185
"ARGENTINA_2011","ARGENTINA",2011,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",213
"ARGENTINA_2012","ARGENTINA",2012,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",2803
"ARGENTINA_2013","ARGENTINA",2013,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",9294
"ARGENTINA_2014","ARGENTINA",2014,"OD","Week",53,1,"No_modelling_required","PAHO",FALSE,"ARG",3270
"ARGENTINA_2015","ARGENTINA",2015,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",4774
"ARGENTINA_2016","ARGENTINA",2016,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",79455
"ARGENTINA_2017","ARGENTINA",2017,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",557
"ARGENTINA_2018","ARGENTINA",2018,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",1829
"ARGENTINA_2019","ARGENTINA",2019,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",3220
"ARGENTINA_2020","ARGENTINA",2020,"OD","Week",53,1,"No_modelling_required","PAHO",FALSE,"ARG",59358
"ARGENTINA_2021","ARGENTINA",2021,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",3972
"ARGENTINA_2022","ARGENTINA",2022,"OD","Year",1,1,"Annual_disaggregation","PAHO",FALSE,"ARG",841
"ARGENTINA_2023","ARGENTINA",2023,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",146876
"ARGENTINA_2024","ARGENTINA",2024,"OD","Week",52,1,"No_modelling_required","PAHO",FALSE,"ARG",581559
