"UUID","metadata_description","metadata_url","metadata_steps"
"LITERATURE-ERI-20052015-Y01-00",NA,"https://doi.org/10.1186/s41256-016-0016-5",NA
"LITERATURE-ERI-20122015-Y01-01",NA,"https://pubmed.ncbi.nlm.nih.gov/29202065/","Figure1"
"LITERATURE-ESP-2018-Y01-00",NA,"https://www.ncbi.nlm.nih.gov/pubmed/32088276",NA
"LITERATURE-ETH-19902012-Y01-02",NA,"https://ejol.aau.edu.et/index.php/EJHD/article/download/1786/1417/2872",NA
"LITERATURE-ETH-2013-Y01-00",NA,"https://mail.ejhd.org/index.php/ejhd/article/view/3351",NA
"LITERATURE-ETH-2013-Y01-01",NA,"https://ejhd.org/index.php/ejhd/article/view/3351","Figure 2"
"LITERATURE-ETH-20192029-Y01-03",NA,"https://www.mdpi.com/2075-4450/13/11/1066","Figure 3"
"LITERATURE-FRA-2010-Y01-00",NA,"https://www.ncbi.nlm.nih.gov/pubmed/20929659",NA
"LITERATURE-FRA-2013-Y01-01",NA,"https://www.ncbi.nlm.nih.gov/pubmed/24342514",NA
"LITERATURE-FRA-2015-Y01-02",NA,"https://www.ncbi.nlm.nih.gov/pubmed/27254729",NA
"LITERATURE-FRA-2022-Y01-03",NA,"https://www.ncbi.nlm.nih.gov/pubmed/36330819",NA
"LITERATURE-GAB-20072010-Y01-00",NA,"https://doi.org/10.1093/cid/cis530",NA
"LITERATURE-GUM-19902016-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC7119517/#R1",NA
"LITERATURE-HKG-19901993-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC7062697/",NA
"LITERATURE-IRN-19902023-Y01-01",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11497365/",NA
"LITERATURE-IRN-2024-Y01-00",NA,"https://doi.org/10.1186/s12879-025-11453-w",NA
"LITERATURE-ITA-2020-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8499737/",NA
"LITERATURE-ITA-2020-Y01-01",NA,"https://www.ncbi.nlm.nih.gov/pubmed/32914745",NA
"LITERATURE-JPN-19902012-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC7586234/",NA
"LITERATURE-KEN-20122013-Y01-00",NA,"https://doi.org/10.1371/journal.pntd.0003733","Figure 1"
"LITERATURE-KEN-20142017-Y01-01",NA,"https://wwwnc.cdc.gov/eid/article/26/11/20-0960_article","Figure 3"
"LITERATURE-LKA-20012020-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/",NA
"LITERATURE-MAC-19901999-Y02-00",NA,"https://www.cdc.gov.tw/En/EpidemicTheme/Detail/hQ4XhaZAzUmNe2ksY4tjMA?archiveId=EMC83FmmJ0yJygspaIMnrQ#:~:text=Abstract%EF%BC%9A,the%20loose%20surveillance%20on%20borders.",NA
"LITERATURE-MAC-20092012-Y01-00","Taiwan Epidemiology Bulletin","https://www.cdc.gov.tw/En/Category/ListContent/hQ4XhaZAzUmNe2ksY4tjMA?uaid=EMC83FmmJ0yJygspaIMnrQ","Vol 35 No 15 August 6, 2019; figure 1"
"LITERATURE-MDG-20062008-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC2600361/",NA
"LITERATURE-MDV-20132016-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC6177194/",NA
"LITERATURE-MLI-2023-Y01-00","IFRC DREF Final Report","https://reliefweb.int/report/mali/mali-dengue-outbreak-dref-final-report-mdrml018","p. 3 figure 1"
"LITERATURE-MOZ-2015-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5817774/pdf/tpmd170317.pdf",NA
"LITERATURE-MRT-2020-Y01-00",NA,"https://www.sciencedirect.com/science/article/pii/S0399077X14002054",NA
"LITERATURE-MUS-2009-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC3321960/pdf/09-1582_finalD.pdf",NA
"LITERATURE-NGA-2023-Y01-00",NA,"https://doi.org/10.1089/vbz.2011.0622",NA
"LITERATURE-OMN-2019-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC6425053/","Between 2001 and 2017, 173 cases were reported, and all were travel-related.8,9 . Two indigenous cases reported in 2004 and 2009 https://omjourl.org/articleDetails.aspx?coType=1&aId=2429"
"LITERATURE-PAK-19901993-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC3050821/",NA
"LITERATURE-PAK-19962002-Y01-01",NA,"https://api.semanticscholar.org/CorpusID:79785202",NA
"LITERATURE-REU-20042021-Y01-00",NA,"https://doi.org/10.1371/journal.pntd.0010547",NA
"LITERATURE-REU-20042021-Y01-01",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10360367/pdf/eurosurv-28-29-3.pdf","Figure 1"
"LITERATURE-REU-20152018-Y01-02",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC6885751/pdf/eurosurv-24-47-5.pdf","Figure 1"
"LITERATURE-SAU-20032005-Y01-00",NA,"https://www.sciencedirect.com/science/article/pii/S1477893919300651#fig3",NA
"LITERATURE-SDN-2005-Y01-00",NA,"https://www.sciencedirect.com/science/article/pii/S1876034110000523",NA
"LITERATURE-SDN-2010-Y01-01",NA,"https://iris.who.int/bitstream/handle/10665/118472/EMHJ_2012_18_12_1217_1224.pdf?sequence=1&isAllowed=y","Figure 1"
"LITERATURE-SDN-2010-Y01-02",NA,"https://iris.who.int/bitstream/handle/10665/326742/EMHJ_18_12_2012.pdf#page=45",NA
"LITERATURE-SDN-20142015-Y01-04",NA,"https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article","Figure 1"
"LITERATURE-SDN-2019-Y01-03",NA,"https://www.mdpi.com/2414-6366/4/1/43","Figure 2"
"LITERATURE-SEN-1990-Y01-00",NA,"https://doi.org/10.1093/jmedent/31.4.623",NA
"LITERATURE-SEN-2009-Y01-01",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC3944854/",NA
"LITERATURE-SEN-2017-Y01-02",NA,"https://doi.org/10.1016/j.tmaid.2018.11.002",NA
"LITERATURE-SEN-2018-Y01-03",NA,"https://www.mdpi.com/1660-4601/19/24/16912","Figure 4"
"LITERATURE-SLB-20162017-Y01-00",NA,"https://doi.org/10.1371/journal.pone.0198487",NA
"LITERATURE-SOM-2011-Y01-00",NA,"https://doi.org/10.1371/journal.pntd.0001760",NA
"LITERATURE-SOM-2011-Y01-01",NA,"https://www.researchgate.net/publication/280491802_Dengue_Outbreak_Among_African_Union_Peacekeepers-_Mogadishu_Somalia_2011","Figure3 and 4"
"LITERATURE-STP-2022-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11860262/pdf/tropicalmed-10-00034.pdf","Table 3"
"LITERATURE-TZA-2014-Y01-00",NA,"https://wwwnc.cdc.gov/eid/article/22/5/15-1462-f1","Figure 1B"
"LITERATURE-WLF-20142015-Y01-00",NA,"https://www.mdpi.com/2076-0817/11/1/74",NA
"LITERATURE-YEM-20212024-Y01-00",NA,"https://doi.org/10.1186/s12879-024-10429-6",NA
"MOH-CAR-2017-Y01-00","State of Public Health in the  Caribbean Region","https://www.carpha.org/Portals/0/Documents/State-of-Public-Health-in-the-Caribbean-2014-2016.pdf","CARPHA 2012-2016, table 13"
"MOH-ESP-2022-Y01-00","RAPID RISK ASSESSMENT Cluster of autochthonous dengue cases in Ibiza","https://www.sanidad.gob.es/profesionales/saludPublica/ccayes/alertasActual/docs/20230228_ERR_Dengue_autoctono.pdf",NA
"MOH-ESP-2023-Y02-00","Information note: Update on the dengue situation in Cataolnia","https://salutpublica.gencat.cat/ca/detalls/Article/actualitzacio-dengue-catalunya",NA
"MOH-FRA-2014-Y01-00","Bulletin epidemiologique hebdomadaire","http://invs.santepubliquefrance.fr/beh/2015/13-14/pdf/2015_13-14_3.pdf","Bulletin epidemiologique hebdomadaire 13-14 (28 avril 2015)"
"MOH-FRA-2018-Y02-00","Bulletin de sante publique","https://www.santepubliquefrance.fr/content/download/168504/document_file/bsp_arboviroses_paca_aout_2019.pdf","ARBOVIROSES - SAISON 2018"
"MOH-FRA-2020-Y03-00","Chikungunya, dengue and Zika","https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-a-transmission-vectorielle/chikungunya/articles/donnees-en-france-metropolitaine/chikungunya-dengue-et-zika-donnees-de-la-surveillance-renforcee-en-france-metropolitaine-en-2020","Vector-borne diseases > Chikungunya > Data in metropolitan France"
"MOH-FRA-2023-Y03-01","Chikungunya, dengue and Zika","https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-a-transmission-vectorielle/chikungunya/articles/donnees-en-france-metropolitaine/chikungunya-dengue-et-zika-donnees-de-la-surveillance-renforcee-en-france-metropolitaine-en-2023","Vector-borne diseases > Chikungunya > Data in metropolitan France"
"MOH-GUF-2022-Y01-00","Epidemiological situation of dengue in French Guiana","https://www.santepubliquefrance.fr/regions/guyane/documents/bulletin-regional/2022/situation-epidemiologique-de-la-dengue-en-guyane.-point-au-16-decembre-2022","Regions > Guyana > Documents > regional bulletin"
"MOH-IND-2018-Y01-00","UT and Month-wise Dengue Cases during 2018 and 2019 ","https://www.data.gov.in/resource/stateut-and-month-wise-dengue-cases-during-2018-and-2019-ministry-health-and-family",NA
"MOH-ITA-2023-Y01-00","Italy National Institute of Health EpiCenter","https://www.epicentro.iss.it/febbre-dengue/aggiornamenti","Arbovirosis > National surveillance > data dashboard > digitised the bar chart"
"MOH-JPN-2020-Y01-00","NESID Annual Report Summary Tables","https://id-info.jihs.go.jp/niid/ja/allarticles/surveillance/10845-syulist2020.html","Table 2-1 > Search ""Dengue"" > Inside Japan"
"MOH-JPN-2021-Y01-01","NESID Annual Report Summary Tables","https://id-info.jihs.go.jp/surveillance/idwr/annual/2021/syulist/index.html","Table 2-1 > Search ""Dengue"" > Inside Japan"
"MOH-JPN-2022-Y01-02","NESID Annual Report Summary Tables","https://id-info.jihs.go.jp/surveillance/idwr/annual/2022/syulist/index.html","Table 2-1 > Search ""Dengue"" > Inside Japan"
"MOH-JPN-2023-Y01-03","NESID Annual Report Summary Tables","https://id-info.jihs.go.jp/surveillance/idwr/annual/2023/syulist/index.html","Table 2-1 > Search ""Dengue"" > Inside Japan"
"MOH-JPN-2024-Y02-00","Japan Infectious disease surveillance weely report","https://id-info.jihs.go.jp/surveillance/idwr/idwr/2024/52/idwr2024-52.pdf",NA
"MOH-LKA-2010-Y01-00","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2011-Y01-01","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2012-Y01-02","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2013-Y01-03","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2015-Y01-05","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2016-Y01-06","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-2017-Y01-07","Sri Lanka surveillance data","https://www.epid.gov.lk/web/index.php?option=com_casesanddeaths&Itemid=448&lang=en",NA
"MOH-LKA-20182019-W01-46","Sri Lanka Weekly Epidemiological Report","https://www.epid.gov.lk/epid/public/index.php/weekly-epidemiological-report/weekly-epidemiological-report","Vol 46 no 01; Vol 46 no 02"
"MOH-MAC-20192023-Y02-00","Macau confirms first local dengue case since 2018","https://www.macaupostdaily.com/news/23048","""It is the first time that Macau has confirmed a local case of dengue fever since 2018."""
"MOH-MAC-2024-Y01-00","Government of Macao Special Administrative Region Statistics and Census Service","https://www.dsec.gov.mo/en-US/Statistic?id=202","Health statistics 2024 > Sheet 13 (""Individuals with notifiable diseases by age group (2024)"""
"MOH-NCL-2014-Y01-00","Situation sanitaire en Nouvelle-Caledonie","https://dass.gouv.nc/file/943/download?token=XAxFZoJb#:~:text=Coqueluche%203%202%206%203,1%200%200%201%206",NA
"MOH-PICs-19901996-Y01-00","South Pacific Epidemiological and Health Information Services","https://www.spc.int/DigitalLibrary/PHD/Collection/SPEHIS_SIESPS",NA
"MOH-PRT-20122013-Y01-00","Dengue outbreak on Madeira Island - situation report","http://www.dgs.pt/ficheiros-de-upload-2013/dengue-madeira-situacao-em-2013_05_19-pdf.aspx",NA
"MOH-PYF-2016-Y01-00","Dengue surveillance report in French Polynesia","https://www.service-public.pf/dsp/wp-content/uploads/sites/12/2017/08/Rapport-dengue-2016.pdf#:~:text=III,150%201%20052%202%20094",NA
"MOH-PYF-2021-Y02-00","French Polynesia Health Surveillance Bulletin","https://www.service-public.pf/dsp/wp-content/uploads/sites/12/2021/12/BSS25_S49S50-2021.pdf","No 25 -2021"
"MOH-REU-20062007-Y04-00","Epidemiologie de la dengue a la Reunion","https://www.santepubliquefrance.fr/content/download/183313/2309563","Bilan d’une annee de surveillance, 2007"
"MOH-REU-2010-Y03-00","Le point epidemio | CIRE OCEAN INDIEN","https://www.santepubliquefrance.fr/content/download/48211/1038343","N0 32 au 18 mai 2010"
"MOH-REU-20112012-Y03-04","Le point epidemio | CIRE OCEAN INDIEN","https://www.santepubliquefrance.fr/content/download/63741/1204784","No 51 au 3 aout 2012"
"MOH-REU-2013-Y03-01","Le point epidemio | CIRE OCEAN INDIEN","https://www.santepubliquefrance.fr/content/download/135235/2070208","No 46 au 20 novembre 2013"
"MOH-REU-2013-Y03-02","Le point epidemio | CIRE OCEAN INDIEN","https://www.santepubliquefrance.fr/regions/ocean-indien/documents/bulletin-regional/2013/situation-de-la-dengue-a-la-reunion.-point-epidemiologique-au-29-juillet-2013","No 37 au 29 juillet 2013"
"MOH-REU-2014-Y03-03","Le point epidemio | CIRE OCEAN INDIEN","https://www.santepubliquefrance.fr/regions/ocean-indien/documents/bulletin-regional/2014/surveillance-des-arboviroses-a-la-reunion.-point-epidemiologique-au-28-novembre-2014","No 90 du 28 novembre 2014"
"MOH-REU-2017-Y02-00","Situation sanitaire Reunion et Mayotte","https://www.lareunion.ars.sante.fr/sites/default/files/2017-03/5-PRS%202%20DIAGNOSTIC%20Situation%20sanitaire%20R%C3%A9union%20et%20Mayotte_Janvier%202017_0_1.pdf","page 74"
"MOH-REU-2022-Y01-00","Dengue situation in Reunion Island","https://www.lareunion.ars.sante.fr/dengue-la-reunion-point-de-situation-au-5-janvier-2023",NA
"MOH-SAU-20222024-Y01-00","Saudi Arabia Annual statistical year book","https://www.moh.gov.sa/en/Ministry/Statistics/book/Pages/default.aspx",NA
"MOH-SDN-20222023-Y01-00","The republic of the Sudan - Dengue Fever Sitrep","https://reliefweb.int/report/sudan/republic-sudan-dengue-fever-sitrep-28-july-2022-08-apr-2023","Figure 1"
"MOH-SGP-20122024-Y02-00","Singapore weekly infectious disease bulletins","http://www.moh.gov.sg","resources&stats>infectious disease statistics>2021>weekly infectious disease bulletins"
"MOH-SGP-2022-Y01-00","Singapore weekly infectious disease bulletins","https://www.cda.gov.sg/resources/weekly-infectious-diseases-bulletin-2022/",NA
"MOH-SYC-2022-Y01-00","Seychelles Annual Health-Sector Performance Report","https://www.health.gov.sc/wp-content/uploads/2024/05/MOH-Annual-Performance-Report-2022.pdf#:~:text=Thirty,1%20and",NA
"MOH-TLS-20172019-Y01-00","National guideline for clinical management of dengue","https://cdn.who.int/media/docs/default-source/2021-dha-docs/5_national-clinical-guideline-of-dengue-timor-leste_clean_final-12-dec-2022.pdf?sfvrsn=e80bf9cd_1","Table 1"
"MOH-UST-20132023-Y01-00","US CDC Arbonet","https://www.cdc.gov/dengue/data-research/facts-stats/historic-data.html","Historic Data > cumulative data > select Travel status ""Locally acquired"" > scraped number of cases from the Data Table - Dengue cases by jurisdiction based on year and travel status selected above"
"WHO-AFG-2024-Y01-00","WHO Afghanistan Emergency Situation Report","https://reliefweb.int/report/afghanistan/afghanistan-emergency-situation-report-issue-47-reporting-period-december-2024",NA
"WHO-ALL-19902018-Y02-00","WHO Dengue Explorer","https://ntdhq.shinyapps.io/dengue5/",NA
"WHO-ALL-2025-Y01-02","WHO Global Dengue Dashboard","https://worldhealthorg.shinyapps.io/dengue_global/","Download data > global"
"WHO-PAK-2023-Y01-00","WHO Disease Outbreak News","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON498","Pakistan (n= 20 072), Saudi Arabia and Oman have reported the highest number of confirmed cases thus far in 2023. "
"WHO-SOM-2022-Y01-00","Health Emergency Programme Update – Somalia","https://www.emro.who.int/images/stories/somalia/Health-Emergency-Programme-November-2022_updated.pdf#:~:text=EMRO%20www,case",NA
"WHO-TCD-19902022-Y01-00","WHO Disease Outbreak News","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON491",NA
"WHO-TLS-20162019-Y01-00","WHO Disease Outbreak News","https://www.who.int/emergencies/disease-outbreak-news/item/dengue---timor-leste","digitised figure"
"WHOAFRO-ALL-2023-M01-01","WHO African Region Health Emergency Situation Report","https://iris.who.int/bitstream/handle/10665/375392/AFRO.Dengue.Sitrep001-20231219.pdf",NA
"WHOAFRO-ALL-2023-M01-02","WHO African Region Health Emergency Situation Report","https://iris.who.int/bitstream/handle/10665/375833/AFRO.Dengue.Sitrep002-20240114.pdf","Figure 3"
"WHOAFRO-CIV-2019-W01-34","WEEKLY BULLETIN ON OUTBREAKS AND OTHER EMERGENCIES","https://iris.who.int/bitstream/handle/10665/326596/OEW34-1925082019.pdf","Week 34: 19 - 25 August 2019"
"WHOEMRO-AFG-2022-M01-24","Afghanistan Emergency Situation Report","https://www.emro.who.int/afg/afghanistan-infocus/situation-reports-2021.html","Page 1, summary of outbreaks text - process cumulative counts"
"WHOEMRO-AFG-2023-W02-52","Afghanistan Infectious Disease Outbreaks Situation Report","https://www.emro.who.int/images/stories/afghanistan/Outbreak-Situation-Report-Week-52-2023.pdf?ua=1","Digitise figure 15"
"WHOEMRO-ALL-2016-Y01-00","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2018-Y01-02","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2018-Y01-02","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2019-Y01-03","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2020-Y01-04","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2021-Y01-05","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/annual-disease-outbreak-reports.html",NA
"WHOEMRO-ALL-2022-Y01-06","WHO EMRO annual review","https://www.emro.who.int/pandemic-epidemic-diseases/information-resources/infectious-disease-outbreaks-reported-in-the-eastern-mediterranean-region-in-2022.html","Navigate to Dengue fever and scroll to Afghanistan - digitise Fig. 20"
"WHOEMRO-SDN-2017-W02-49","WHO EMRO Weekly Epidemiological Monitor","https://reliefweb.int/report/sudan/who-emro-weekly-epidemiological-monitor-volume-10-issue-49-3-december-2017#:~:text=WHO%20EMRO%20Weekly%20Epidemiological%20Monitor%3A,to%2090%20with%202",NA
"WHOEMRO-SDN-2022-Y01-00","Weekly Epidemiological Monitor","https://applications.emro.who.int/docs/EPI/2022/2224-4220-2022-1552-eng.pdf?ua=1#:~:text=Monitor%20applications,have%20been%20reported","Volume 15; Issue no 52; 25 December 2022"
"WHOPAHO-HTI-2023-Y01-00","PAHO Public Health Situation Analysis","https://www.paho.org/sites/default/files/2024-10/phsa-haiti-update-oct2024.pdf","page 25"
"WHOPAHO-SXM-20102013-Y01-00","Sint Maarten Country Cooperation Strategy 2015-2019","https://www.paho.org/sites/default/files/ccs-2015-2019-sint-maarten.pdf#:~:text=By%202013%2C%20they%20were%20310,were%20registered%20as","page 29"
"WHOSEARO-ALL-2021-Y01-00","Virtual Meeting of Regional Technical Advisory Group for dengue and other arbovirus diseases","https://www.who.int/southeastasia/publications/i/item/sea-cd-331",NA
"WHOSEARO-ALL-2023-Y02-00","Meeting of programme managers and the Regional Technical Advisory Group on dengue and other arboviruses in the South-East Asia Region","https://www.who.int/publications/i/item/SEA-CD-340",NA
"WHOSEARO-ALL-2025-Y03-00","WHO SEARO Dengue Dashboard","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""cases by month"""
"WHOSEARO-MMR-19961998-Y01-00","Number of reported Dengue cases and deaths of DF/DHF in SEAR countries from 1985 to 2005","https://www.who.int/southeastasia/health-topics/dengue-and-severe-dengue",NA
"WHOWPRO-ALL-2016-W01-03","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2016-W01-484","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","A total of 170 cases were seen at the Daru Hospital Outpatient department, Daru, Western Province from 4 November 2015 to 8 January 2016."
"WHOWPRO-ALL-2016-W01-506","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue",NA
"WHOWPRO-ALL-2019-W01-01","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2020-W01-51","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2020-W01-585","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue",NA
"WHOWPRO-ALL-2021-W01-03","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2021-W01-612","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue",NA
"WHOWPRO-ALL-2021-W01-636","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue",NA
"WHOWPRO-ALL-2023-W01-687","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue",NA
"WHOWPRO-ALL-2024-W01-713","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-MNP-1996-Y01-00","Selected health indicators for countries/areas of the Western Pacific","https://iris.who.int/handle/10665/206874",NA
