"country_year","T_res","selected_column","final_count","final_sum","a0_count","a0_sum","a1_count","a1_sum","a2_count","a2_sum","relationship_category","pct_of_annual","annual_total","subannual_is_complete"
"ANGUILLA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1995","Year","a0",1,4,1,4,NA,NA,NA,NA,"Case 1: Annual only",NA,4,NA
"ANGUILLA_1996","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"ANGUILLA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1998","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_1999","Year","a0",1,12,1,12,NA,NA,NA,NA,"Case 1: Annual only",NA,12,NA
"ANGUILLA_2000","Year","a0",1,3,1,3,NA,NA,NA,NA,"Case 1: Annual only",NA,3,NA
"ANGUILLA_2001","Year","a0",1,25,1,25,NA,NA,NA,NA,"Case 1: Annual only",NA,25,NA
"ANGUILLA_2002","Year","a0",1,5,1,5,NA,NA,NA,NA,"Case 1: Annual only",NA,5,NA
"ANGUILLA_2003","Year","a0",1,2,1,2,NA,NA,NA,NA,"Case 1: Annual only",NA,2,NA
"ANGUILLA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_2006","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_2008","Year","a0",1,7,1,7,NA,NA,NA,NA,"Case 1: Annual only",NA,7,NA
"ANGUILLA_2009","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANGUILLA_2010","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"ANGUILLA_2011","Year","a0",1,9,1,9,NA,NA,NA,NA,"Case 1: Annual only",NA,9,NA
"ANGUILLA_2012","Year","a0",1,7,1,7,NA,NA,NA,NA,"Case 1: Annual only",NA,7,NA
"ANGUILLA_2013","Year","a0",1,8,1,8,NA,NA,NA,NA,"Case 1: Annual only",NA,8,NA
"ANGUILLA_2014","Year","a0",1,86,1,86,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",9.30232558139535,86,FALSE
"ANGUILLA_2015","Year","a0",1,8,1,8,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",37.5,8,FALSE
"ANGUILLA_2016","Year","a0",1,50,1,50,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",64,50,FALSE
"ANGUILLA_2017","Year","a0",1,22,1,22,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",86.3636363636364,22,FALSE
"ANGUILLA_2018","Week","a0",52,1,52,1,NA,NA,NA,NA,"Sub-annual >= Annual",100,1,TRUE
"ANGUILLA_2019","Year","a0",1,6,1,6,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",66.6666666666667,6,FALSE
"ANGUILLA_2020","Week","a0",53,6,53,6,NA,NA,NA,NA,"Sub-annual >= Annual",100,6,TRUE
"ANGUILLA_2023","Week","a0",52,1,52,1,NA,NA,NA,NA,"Sub-annual >= Annual",100,1,TRUE
"ANGUILLA_2024","Year","a0",1,5,1,5,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",0,5,FALSE
"ANTIGUA AND BARBUDA_1990","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"ANTIGUA AND BARBUDA_1991","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"ANTIGUA AND BARBUDA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_1995","Year","a0",1,56,1,56,NA,NA,NA,NA,"Case 1: Annual only",NA,56,NA
"ANTIGUA AND BARBUDA_1996","Year","a0",1,12,1,12,NA,NA,NA,NA,"Case 1: Annual only",NA,12,NA
"ANTIGUA AND BARBUDA_1997","Year","a0",1,7,1,7,NA,NA,NA,NA,"Case 1: Annual only",NA,7,NA
"ANTIGUA AND BARBUDA_1998","Year","a0",1,4,1,4,NA,NA,NA,NA,"Case 1: Annual only",NA,4,NA
"ANTIGUA AND BARBUDA_1999","Year","a0",1,2,1,2,NA,NA,NA,NA,"Case 1: Annual only",NA,2,NA
"ANTIGUA AND BARBUDA_2000","Year","a0",1,8,1,8,NA,NA,NA,NA,"Case 1: Annual only",NA,8,NA
"ANTIGUA AND BARBUDA_2001","Year","a0",1,20,1,20,NA,NA,NA,NA,"Case 1: Annual only",NA,20,NA
"ANTIGUA AND BARBUDA_2002","Year","a0",1,5,1,5,NA,NA,NA,NA,"Case 1: Annual only",NA,5,NA
"ANTIGUA AND BARBUDA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_2006","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ANTIGUA AND BARBUDA_2008","Year","a0",1,17,1,17,NA,NA,NA,NA,"Case 1: Annual only",NA,17,NA
"ANTIGUA AND BARBUDA_2009","Year","a0",1,2,1,2,NA,NA,NA,NA,"Case 1: Annual only",NA,2,NA
"ANTIGUA AND BARBUDA_2010","Year","a0",1,3,1,3,NA,NA,NA,NA,"Case 1: Annual only",NA,3,NA
"ANTIGUA AND BARBUDA_2011","Year","a0",1,7,1,7,NA,NA,NA,NA,"Case 1: Annual only",NA,7,NA
"ANTIGUA AND BARBUDA_2012","Year","a0",1,10,1,10,NA,NA,NA,NA,"Case 1: Annual only",NA,10,NA
"ANTIGUA AND BARBUDA_2013","Year","a0",1,3,1,3,NA,NA,NA,NA,"Case 1: Annual only",NA,3,NA
"ANTIGUA AND BARBUDA_2014","Year","a0",1,37,1,37,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",5.40540540540541,37,FALSE
"ANTIGUA AND BARBUDA_2015","Year","a0",1,14,1,14,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",0,14,FALSE
"ANTIGUA AND BARBUDA_2016","Year","a0",1,103,1,103,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",93.2038834951456,103,FALSE
"ANTIGUA AND BARBUDA_2017","Week","a0",52,1,52,1,NA,NA,NA,NA,"Sub-annual >= Annual",100,1,TRUE
"ANTIGUA AND BARBUDA_2018","Year","a0",1,8,1,8,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",62.5,8,FALSE
"ANTIGUA AND BARBUDA_2019","Year","a0",1,1223,1,1223,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",86.2632869991823,1223,FALSE
"ANTIGUA AND BARBUDA_2020","Week","a0",53,407,53,407,NA,NA,NA,NA,"Sub-annual >= Annual",100,407,TRUE
"ANTIGUA AND BARBUDA_2021","Year","a0",1,46,1,46,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",84.7826086956522,46,FALSE
"ANTIGUA AND BARBUDA_2022","Year","a0",1,48,1,48,NA,NA,NA,NA,"Case 1: Annual only",NA,48,NA
"ANTIGUA AND BARBUDA_2023","Year","a0",1,254,1,254,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",99.2125984251969,254,FALSE
"ANTIGUA AND BARBUDA_2024","Year","a0",1,169,1,169,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",96.4497041420118,169,FALSE
"ARGENTINA_1990","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1995","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1996","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARGENTINA_1998","Year","a0",1,822,1,822,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",0,822,FALSE
"ARGENTINA_1999","Year","a0",1,3,1,3,NA,NA,NA,NA,"Sub-annual sum zero - annual selected",0,3,FALSE
"ARGENTINA_2000","Year","a0",1,1700,1,1700,NA,NA,NA,NA,"Case 1: Annual only",NA,1700,NA
"ARGENTINA_2001","Year","a0",1,11,1,11,NA,NA,NA,NA,"Case 1: Annual only",NA,11,NA
"ARGENTINA_2002","Year","a0",1,214,1,214,NA,NA,NA,NA,"Case 1: Annual only",NA,214,NA
"ARGENTINA_2003","Year","a0",1,135,1,135,NA,NA,NA,NA,"Case 1: Annual only",NA,135,NA
"ARGENTINA_2004","Year","a0",1,3284,1,3284,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",14.4031668696711,3284,FALSE
"ARGENTINA_2005","Year","a0",1,34,1,34,NA,NA,NA,NA,"Case 1: Annual only",NA,34,NA
"ARGENTINA_2006","Year","a0",1,181,1,181,NA,NA,NA,NA,"Case 1: Annual only",NA,181,NA
"ARGENTINA_2007","Year","a0",1,173,1,173,NA,NA,NA,NA,"Case 1: Annual only",NA,173,NA
"ARGENTINA_2008","Year","a0",1,40,1,40,NA,NA,NA,NA,"Case 1: Annual only",NA,40,NA
"ARGENTINA_2009","Year","a0",1,26606,1,26606,NA,NA,NA,NA,"Case 1: Annual only",NA,26606,NA
"ARGENTINA_2010","Year","a0",1,1185,1,1185,NA,NA,NA,NA,"Case 1: Annual only",NA,1185,NA
"ARGENTINA_2011","Year","a0",1,213,1,213,NA,NA,NA,NA,"Case 1: Annual only",NA,213,NA
"ARGENTINA_2012","Year","a0",1,2803,1,2803,NA,NA,NA,NA,"Case 1: Annual only",NA,2803,NA
"ARGENTINA_2013","Year","a0",1,9294,1,9294,NA,NA,NA,NA,"Case 1: Annual only",NA,9294,NA
"ARGENTINA_2014","Week","a0",53,3270,53,3270,NA,NA,NA,NA,"Sub-annual >= Annual",100,3270,TRUE
"ARGENTINA_2015","Week","a0",52,4774,52,4774,NA,NA,NA,NA,"Sub-annual >= Annual",100,4774,TRUE
"ARGENTINA_2016","Week","a0",52,79455,52,79455,NA,NA,NA,NA,"Sub-annual >= Annual",100,79455,TRUE
"ARGENTINA_2017","Week","a0",52,557,52,557,NA,NA,NA,NA,"Sub-annual >= Annual",100,557,TRUE
"ARGENTINA_2018","Week","a0",52,1829,52,1829,NA,NA,NA,NA,"Sub-annual >= Annual",100,1829,TRUE
"ARGENTINA_2019","Week","a0",52,3220,52,3220,NA,NA,42,2712,"Sub-annual >= Annual",100,3220,TRUE
"ARGENTINA_2020","Week","a0",53,59358,53,59358,NA,NA,50,38396,"Sub-annual >= Annual",100,59358,TRUE
"ARGENTINA_2021","Year","a0",1,3972,1,3972,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",95.6948640483384,3972,FALSE
"ARGENTINA_2022","Year","a0",1,841,1,841,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",98.0975029726516,841,FALSE
"ARGENTINA_2023","Week","a0",52,146876,52,146876,NA,NA,NA,NA,"Sub-annual >= Annual",100,146876,TRUE
"ARGENTINA_2024","Week","a0",52,581559,52,581559,NA,NA,NA,NA,"Sub-annual >= Annual",100,581559,TRUE
"ARUBA_1990","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1995","Year","a0",1,37,1,37,NA,NA,NA,NA,"Case 1: Annual only",NA,37,NA
"ARUBA_1996","Year","a0",1,10,1,10,NA,NA,NA,NA,"Case 1: Annual only",NA,10,NA
"ARUBA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1998","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_1999","Year","a0",1,130,1,130,NA,NA,NA,NA,"Case 1: Annual only",NA,130,NA
"ARUBA_2000","Year","a0",1,76,1,76,NA,NA,NA,NA,"Case 1: Annual only",NA,76,NA
"ARUBA_2001","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2002","Year","a0",1,25,1,25,NA,NA,NA,NA,"Case 1: Annual only",NA,25,NA
"ARUBA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2004","Year","a0",1,173,1,173,NA,NA,NA,NA,"Case 1: Annual only",NA,173,NA
"ARUBA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2006","Year","a0",1,5,1,5,NA,NA,NA,NA,"Case 1: Annual only",NA,5,NA
"ARUBA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2008","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2009","Year","a0",1,845,1,845,NA,NA,NA,NA,"Case 1: Annual only",NA,845,NA
"ARUBA_2010","Year","a0",1,1700,1,1700,NA,NA,NA,NA,"Case 1: Annual only",NA,1700,NA
"ARUBA_2011","Year","a0",1,3025,1,3025,NA,NA,NA,NA,"Case 1: Annual only",NA,3025,NA
"ARUBA_2012","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"ARUBA_2013","Year","a0",1,528,1,528,NA,NA,NA,NA,"Case 1: Annual only",NA,528,NA
"ARUBA_2014","Year","a0",1,400,1,400,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",22,400,FALSE
"ARUBA_2015","Year","a0",1,335,1,335,NA,NA,NA,NA,"Case 1: Annual only",NA,335,NA
"ARUBA_2016","Year","a0",1,1319,1,1319,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",9.85595147839272,1319,FALSE
"ARUBA_2017","Year","a0",1,1734,1,1734,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",29.4117647058824,1734,FALSE
"ARUBA_2018","Week","a0",52,9,52,9,NA,NA,NA,NA,"Sub-annual >= Annual",100,9,TRUE
"ARUBA_2019","Week","a0",52,106,52,106,NA,NA,NA,NA,"Sub-annual >= Annual",100,106,TRUE
"ARUBA_2020","Week","a0",53,11,53,11,NA,NA,NA,NA,"Sub-annual >= Annual",100,11,TRUE
"ARUBA_2021","Week","a0",52,4,52,4,NA,NA,NA,NA,"Sub-annual >= Annual",100,4,TRUE
"ARUBA_2022","Week","a0",52,11,52,11,NA,NA,NA,NA,"Sub-annual >= Annual",100,11,TRUE
"ARUBA_2023","Week","a0",52,22,52,22,NA,NA,NA,NA,"Sub-annual >= Annual",100,22,TRUE
"ARUBA_2024","Week","a0",52,88,52,88,NA,NA,NA,NA,"Sub-annual >= Annual",100,88,TRUE
"AUSTRALIA_1990","Year","a0",1,84,1,84,NA,NA,NA,NA,"Case 1: Annual only",NA,84,NA
"AUSTRALIA_1991","Year","a0",1,46,1,46,NA,NA,NA,NA,"Annual > sub-annual",36.9565217391304,46,TRUE
"AUSTRALIA_1992","Year","a0",1,366,1,366,NA,NA,NA,NA,"Annual > sub-annual",96.1748633879781,366,TRUE
"AUSTRALIA_1993","Year","a0",1,690,1,690,NA,NA,NA,NA,"Annual > sub-annual",96.231884057971,690,TRUE
"AUSTRALIA_1994","Year","a0",1,18,1,18,NA,NA,NA,NA,"Annual > sub-annual",61.1111111111111,18,TRUE
"AUSTRALIA_1995","Month","a1",12,39,NA,NA,12,39,NA,NA,"Sub-annual >= Annual",114.705882352941,39,TRUE
"AUSTRALIA_1996","Month","a1",12,123,NA,NA,12,123,NA,NA,"Sub-annual >= Annual",273.333333333333,123,TRUE
"AUSTRALIA_1997","Year","a0",1,209,1,209,NA,NA,NA,NA,"Annual > sub-annual",81.8181818181818,209,TRUE
"AUSTRALIA_1998","Month","a1",12,581,NA,NA,12,581,NA,NA,"Sub-annual >= Annual",104.121863799283,581,TRUE
"AUSTRALIA_1999","Year","a0",1,185,1,185,NA,NA,NA,NA,"Annual > sub-annual",70.8108108108108,185,TRUE
"AUSTRALIA_2000","Year","a0",1,232,1,232,NA,NA,NA,NA,"Annual > sub-annual",93.1034482758621,232,TRUE
"AUSTRALIA_2001","Month","a1",12,183,NA,NA,12,183,NA,NA,"Sub-annual >= Annual",102.234636871508,183,TRUE
"AUSTRALIA_2002","Month","a1",12,224,NA,NA,12,224,NA,NA,"Sub-annual >= Annual",100,224,TRUE
"AUSTRALIA_2003","Month","a1",12,868,NA,NA,12,868,NA,NA,"Sub-annual >= Annual",100,868,TRUE
