"country_year","T_res","selected_column","final_count","final_sum","a0_count","a0_sum","a1_count","a1_sum","a2_count","a2_sum","subannual_is_complete","relationship_category","pct_of_annual","annual_total"
"AMERICAN SAMOA_2017","Week","a0",9,111,9,111,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,111
"AMERICAN SAMOA_2018","Week","a0",3,0,3,0,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,0
"AMERICAN SAMOA_2019","Week","a0",4,4,4,4,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,4
"AMERICAN SAMOA_2024","Week","a0",40,0,40,0,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,0
"ANGOLA_2024","Month","a0",12,86,12,86,NA,NA,NA,NA,TRUE,"Case 2: Sub-annual only",NA,86
"ANGUILLA_1990","Year","a0",1,12,1,12,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,12
"ANGUILLA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1995","Year","a0",1,4,1,4,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,4
"ANGUILLA_1996","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"ANGUILLA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1998","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_1999","Year","a0",1,12,1,12,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,12
"ANGUILLA_2000","Year","a0",1,3,1,3,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,3
"ANGUILLA_2001","Year","a0",1,25,1,25,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,25
"ANGUILLA_2002","Year","a0",1,5,1,5,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,5
"ANGUILLA_2003","Year","a0",1,2,1,2,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,2
"ANGUILLA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_2006","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_2008","Year","a0",1,7,1,7,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,7
"ANGUILLA_2009","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANGUILLA_2010","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"ANGUILLA_2011","Year","a0",1,9,1,9,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,9
"ANGUILLA_2012","Year","a0",1,7,1,7,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,7
"ANGUILLA_2013","Year","a0",1,8,1,8,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,8
"ANGUILLA_2014","Year","a0",1,86,1,86,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",9.30232558139535,86
"ANGUILLA_2015","Year","a0",1,8,1,8,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",37.5,8
"ANGUILLA_2016","Year","a0",1,50,1,50,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",64,50
"ANGUILLA_2017","Year","a0",1,22,1,22,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",86.3636363636364,22
"ANGUILLA_2018","Week","a0",52,1,52,1,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,1
"ANGUILLA_2019","Year","a0",1,6,1,6,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",66.6666666666667,6
"ANGUILLA_2020","Week","a0",53,6,53,6,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,6
"ANGUILLA_2023","Week","a0",52,1,52,1,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,1
"ANGUILLA_2024","Year","a0",1,5,1,5,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",0,5
"ANTIGUA AND BARBUDA_1990","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"ANTIGUA AND BARBUDA_1991","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"ANTIGUA AND BARBUDA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_1995","Year","a0",1,56,1,56,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,56
"ANTIGUA AND BARBUDA_1996","Year","a0",1,12,1,12,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,12
"ANTIGUA AND BARBUDA_1997","Year","a0",1,7,1,7,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,7
"ANTIGUA AND BARBUDA_1998","Year","a0",1,4,1,4,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,4
"ANTIGUA AND BARBUDA_1999","Year","a0",1,2,1,2,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,2
"ANTIGUA AND BARBUDA_2000","Year","a0",1,8,1,8,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,8
"ANTIGUA AND BARBUDA_2001","Year","a0",1,20,1,20,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,20
"ANTIGUA AND BARBUDA_2002","Year","a0",1,5,1,5,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,5
"ANTIGUA AND BARBUDA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_2006","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ANTIGUA AND BARBUDA_2008","Year","a0",1,17,1,17,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,17
"ANTIGUA AND BARBUDA_2009","Year","a0",1,2,1,2,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,2
"ANTIGUA AND BARBUDA_2010","Year","a0",1,3,1,3,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,3
"ANTIGUA AND BARBUDA_2011","Year","a0",1,7,1,7,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,7
"ANTIGUA AND BARBUDA_2012","Year","a0",1,10,1,10,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,10
"ANTIGUA AND BARBUDA_2013","Year","a0",1,3,1,3,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,3
"ANTIGUA AND BARBUDA_2014","Year","a0",1,37,1,37,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",5.40540540540541,37
"ANTIGUA AND BARBUDA_2015","Year","a0",1,14,1,14,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",0,14
"ANTIGUA AND BARBUDA_2016","Year","a0",1,103,1,103,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",93.2038834951456,103
"ANTIGUA AND BARBUDA_2017","Week","a0",52,1,52,1,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,1
"ANTIGUA AND BARBUDA_2018","Year","a0",1,8,1,8,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",62.5,8
"ANTIGUA AND BARBUDA_2019","Year","a0",1,1223,1,1223,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",86.2632869991823,1223
"ANTIGUA AND BARBUDA_2020","Week","a0",53,407,53,407,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,407
"ANTIGUA AND BARBUDA_2021","Year","a0",1,46,1,46,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",84.7826086956522,46
"ANTIGUA AND BARBUDA_2022","Year","a0",1,48,1,48,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,48
"ANTIGUA AND BARBUDA_2023","Year","a0",1,254,1,254,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",99.2125984251969,254
"ANTIGUA AND BARBUDA_2024","Year","a0",1,169,1,169,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",96.4497041420118,169
"ARGENTINA_1990","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1995","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1996","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARGENTINA_1998","Year","a0",1,822,1,822,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",0,822
"ARGENTINA_1999","Year","a0",1,3,1,3,NA,NA,NA,NA,FALSE,"Sub-annual sum zero - annual selected",0,3
"ARGENTINA_2000","Year","a0",1,1700,1,1700,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1700
"ARGENTINA_2001","Year","a0",1,11,1,11,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,11
"ARGENTINA_2002","Year","a0",1,214,1,214,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,214
"ARGENTINA_2003","Year","a0",1,135,1,135,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,135
"ARGENTINA_2004","Year","a0",1,3284,1,3284,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",14.4031668696711,3284
"ARGENTINA_2005","Year","a0",1,34,1,34,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,34
"ARGENTINA_2006","Year","a0",1,181,1,181,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,181
"ARGENTINA_2007","Year","a0",1,173,1,173,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,173
"ARGENTINA_2008","Year","a0",1,40,1,40,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,40
"ARGENTINA_2009","Year","a0",1,26606,1,26606,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,26606
"ARGENTINA_2010","Year","a0",1,1185,1,1185,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1185
"ARGENTINA_2011","Year","a0",1,213,1,213,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,213
"ARGENTINA_2012","Year","a0",1,2803,1,2803,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,2803
"ARGENTINA_2013","Year","a0",1,9294,1,9294,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,9294
"ARGENTINA_2014","Week","a0",53,3270,53,3270,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,3270
"ARGENTINA_2015","Week","a0",52,4774,52,4774,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,4774
"ARGENTINA_2016","Week","a0",52,79455,52,79455,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,79455
"ARGENTINA_2017","Week","a0",52,557,52,557,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,557
"ARGENTINA_2018","Week","a0",52,1829,52,1829,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,1829
"ARGENTINA_2019","Week","a0",52,3220,52,3220,NA,NA,42,2712,TRUE,"Sub-annual >= Annual",100,3220
"ARGENTINA_2020","Week","a0",53,59358,53,59358,NA,NA,50,38396,TRUE,"Sub-annual >= Annual",100,59358
"ARGENTINA_2021","Year","a0",1,3972,1,3972,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",95.6948640483384,3972
"ARGENTINA_2022","Year","a0",1,841,1,841,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",98.0975029726516,841
"ARGENTINA_2023","Week","a0",52,146876,52,146876,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,146876
"ARGENTINA_2024","Week","a0",52,581559,52,581559,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,581559
"ARUBA_1990","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1995","Year","a0",1,37,1,37,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,37
"ARUBA_1996","Year","a0",1,10,1,10,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,10
"ARUBA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1998","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_1999","Year","a0",1,130,1,130,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,130
"ARUBA_2000","Year","a0",1,76,1,76,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,76
"ARUBA_2001","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2002","Year","a0",1,25,1,25,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,25
"ARUBA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2004","Year","a0",1,173,1,173,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,173
"ARUBA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2006","Year","a0",1,5,1,5,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,5
"ARUBA_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2008","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2009","Year","a0",1,845,1,845,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,845
"ARUBA_2010","Year","a0",1,1700,1,1700,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1700
"ARUBA_2011","Year","a0",1,3025,1,3025,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,3025
"ARUBA_2012","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"ARUBA_2013","Year","a0",1,528,1,528,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,528
"ARUBA_2014","Year","a0",1,400,1,400,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",22,400
"ARUBA_2015","Year","a0",1,335,1,335,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,335
"ARUBA_2016","Year","a0",1,1319,1,1319,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",9.85595147839272,1319
"ARUBA_2017","Year","a0",1,1734,1,1734,NA,NA,NA,NA,FALSE,"Incomplete sub-annual - annual selected",29.4117647058824,1734
"ARUBA_2018","Week","a0",52,9,52,9,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,9
"ARUBA_2019","Week","a0",52,106,52,106,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,106
"ARUBA_2020","Week","a0",53,11,53,11,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,11
"ARUBA_2021","Week","a0",52,4,52,4,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,4
"ARUBA_2022","Week","a0",52,11,52,11,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,11
"ARUBA_2023","Week","a0",52,22,52,22,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,22
"ARUBA_2024","Week","a0",52,88,52,88,NA,NA,NA,NA,TRUE,"Sub-annual >= Annual",100,88
"AUSTRALIA_1991","Year","a0",1,46,1,46,NA,NA,NA,NA,TRUE,"Annual > sub-annual",36.9565217391304,46
"AUSTRALIA_1992","Year","a0",1,366,1,366,NA,NA,NA,NA,TRUE,"Annual > sub-annual",96.1748633879781,366
"AUSTRALIA_1993","Year","a0",1,690,1,690,NA,NA,NA,NA,TRUE,"Annual > sub-annual",96.231884057971,690
"AUSTRALIA_1994","Year","a0",1,17,1,17,NA,NA,NA,NA,TRUE,"Annual > sub-annual",64.7058823529412,17
"AUSTRALIA_1995","Month","a1",12,39,NA,NA,12,39,NA,NA,TRUE,"Sub-annual >= Annual",114.705882352941,39
"AUSTRALIA_1996","Month","a1",12,123,NA,NA,12,123,NA,NA,TRUE,"Sub-annual >= Annual",286.046511627907,123
"AUSTRALIA_1997","Year","a0",1,205,1,205,NA,NA,NA,NA,TRUE,"Annual > sub-annual",83.4146341463415,205
"AUSTRALIA_1998","Month","a1",12,581,NA,NA,12,581,NA,NA,TRUE,"Sub-annual >= Annual",104.121863799283,581
"AUSTRALIA_1999","Year","a0",1,181,1,181,NA,NA,NA,NA,TRUE,"Annual > sub-annual",72.3756906077348,181
"AUSTRALIA_2000","Year","a0",1,217,1,217,NA,NA,NA,NA,TRUE,"Annual > sub-annual",99.5391705069124,217
"AUSTRALIA_2001","Month","a1",12,183,NA,NA,12,183,NA,NA,TRUE,"Sub-annual >= Annual",102.234636871508,183
"AUSTRALIA_2002","Month","a1",12,224,NA,NA,12,224,NA,NA,TRUE,"Sub-annual >= Annual",100.448430493274,224
"AUSTRALIA_2003","Month","a1",12,868,NA,NA,12,868,NA,NA,TRUE,"Sub-annual >= Annual",100,868
"AUSTRALIA_2004","Year","a0",1,356,1,356,NA,NA,NA,NA,TRUE,"Annual > sub-annual",98.314606741573,356
"AUSTRALIA_2005","Month","a1",12,219,NA,NA,12,219,NA,NA,TRUE,"Sub-annual >= Annual",100,219
"AUSTRALIA_2006","Month","a1",12,188,NA,NA,12,188,NA,NA,TRUE,"Sub-annual >= Annual",100.534759358289,188
"AUSTRALIA_2007","Month","a1",12,316,NA,NA,12,316,NA,NA,TRUE,"Sub-annual >= Annual",100.31746031746,316
"AUSTRALIA_2008","Year","a0",1,557,1,557,NA,NA,NA,NA,TRUE,"Annual > sub-annual",99.6409335727109,557
"AUSTRALIA_2009","Month","a1",12,1404,NA,NA,12,1404,NA,NA,TRUE,"Sub-annual >= Annual",100.214132762313,1404
"AUSTRALIA_2010","Month","a1",12,1228,NA,NA,12,1228,NA,NA,TRUE,"Sub-annual >= Annual",104.867634500427,1228
"AUSTRALIA_2011","Month","a1",12,821,NA,NA,12,821,NA,NA,TRUE,"Sub-annual >= Annual",100.489596083231,821
"AUSTRALIA_2012","Month","a1",12,1539,NA,NA,12,1539,NA,NA,TRUE,"Case 2: Sub-annual only",NA,1539
"AUSTRALIA_2013","Year","a0",1,1841,1,1841,NA,NA,NA,NA,TRUE,"Annual > sub-annual",99.8370450841934,1841
"AUSTRALIA_2014","Year","a0",1,1721,1,1721,NA,NA,NA,NA,TRUE,"Annual > sub-annual",99.9418942475305,1721
"AUSTRALIA_2015","Year","a0",1,1716,1,1716,NA,NA,NA,NA,TRUE,"Annual > sub-annual",99.8251748251748,1716
"AUSTRALIA_2016","Month","a1",12,2239,NA,NA,12,2239,NA,NA,TRUE,"Sub-annual >= Annual",100.089405453733,2239
"AUSTRALIA_2017","Month","a1",12,1135,NA,NA,12,1135,NA,NA,TRUE,"Sub-annual >= Annual",100.265017667845,1135
"AUSTRALIA_2018","Month","a1",12,933,NA,NA,12,933,NA,NA,TRUE,"Sub-annual >= Annual",101.744820065431,933
"AUSTRALIA_2019","Month","a1",12,1469,NA,NA,12,1469,NA,NA,TRUE,"Sub-annual >= Annual",100.41011619959,1469
"AUSTRALIA_2020","Month","a1",12,224,NA,NA,12,224,NA,NA,TRUE,"Case 2: Sub-annual only",NA,224
"AUSTRALIA_2021","Month","a1",12,11,NA,NA,12,11,NA,NA,TRUE,"Case 2: Sub-annual only",NA,11
"AUSTRALIA_2022","Month","a1",12,535,NA,NA,12,535,NA,NA,TRUE,"Case 2: Sub-annual only",NA,535
"AUSTRALIA_2023","Month","a1",12,1119,NA,NA,12,1119,NA,NA,TRUE,"Case 2: Sub-annual only",NA,1119
"AUSTRALIA_2024","Month","a1",12,2372,12,2366,12,2372,NA,NA,TRUE,"Case 2: Sub-annual only",NA,2372
"BAHAMAS_1990","Year","a0",1,2,1,2,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,2
"BAHAMAS_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1995","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"BAHAMAS_1996","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_1998","Year","a0",1,336,1,336,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,336
"BAHAMAS_1999","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2000","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2001","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2002","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2003","Year","a0",1,180,1,180,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,180
"BAHAMAS_2004","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"BAHAMAS_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2006","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"BAHAMAS_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"BAHAMAS_2008","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
